foot.Averaged speed,foot.Batch length,foot.Case temperature too high,foot.Case temperature too low,foot.Gauge OK,foot.Gauge too hot,foot.Good reading,foot.Good reading status,foot.Instant speed,foot.Laser Status,foot.Laser temperature too high,foot.Laser temperature too low,foot.Last length before reset,foot.Object detected,foot.SNR,foot.Speed reading valid,foot.Total length,mic.Average error/Envelop Error,mic.Lump count,mic.Measurement Mode,mic.Neck count,mic.Ovality,mic.Ovality error,mic.X diameter,mic.X error,mic.Y diameter,mic.Y error,mic.Z diameter,mic.Z error,timestamp
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:40
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:41
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:42
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:43
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:44
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:45
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:46
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:47
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:48
0.0,0.3999,0,0,1,0,0,1,0.0,1,0,0,0.0,1,1,0,0.3999,0.0,0,4,0,0.0,0.0,0.0,0.0,39.99,0.01,39.99,0.0,2026-09-08 13:03:49
